D[-],D_dot[1/s],p[-],p_dot[1/s],Mises[MPa],Hydro[MPa],teq[-],eeq[-],V[mm^3],Sig_tri[-],LoadState
0.0053253245,0.035483699,0.051411067,0.0486873588,294.27068453,-3.7392300311,0.0524526627,0.0013405268,0.0016973318,-0.0110793353,Sx
0.0053405306,0.0359698678,0.0514322604,0.0487662407,293.9623346,-3.734658304,0.0524723255,0.0013400045,0.0016973306,-0.0122607114,Sx
0.0053636426,0.0361113871,0.0514639433,0.0482088026,293.5242443,-3.7283425446,0.0525020334,0.0013392348,0.0016973292,-0.0123337233,Sx
0.0053972513,0.0350069801,0.0515110934,0.0477917036,292.92289599,-3.7199209571,0.0525465615,0.001338281,0.0016973271,-0.0121958145,Sx
0.0054056409,0.0351472505,0.051522889,0.0480269449,292.77073877,-3.717797682,0.0525576394,0.0013380466,0.0016973264,-0.0121182701,Sx
0.005414422,0.0368205066,0.0515348723,0.0488253954,292.59812172,-3.7152501007,0.0525687919,0.0013377452,0.0016973258,-0.0120067883,Sx
0.0054235859,0.0385904161,0.051547154,0.0502055798,292.38877718,-3.711954655,0.0525800209,0.0013373266,0.001697325,-0.0120920562,Sx
0.0054323686,0.0368817077,0.0515593814,0.0498351429,292.18706244,-3.7088355013,0.0525912637,0.0013369195,0.0016973243,-0.012173807,Sx
0.0054455205,0.0368398232,0.0515777569,0.0499425609,291.8790561,-3.7040991821,0.0526081423,0.0013362903,0.0016973233,-0.0120303677,Sx
0.0054667468,0.0399805143,0.0516064369,0.0523203499,291.27233703,-3.6941350701,0.05263368,0.001334893,0.0016973213,-0.0118928295,Sx
0.0054875383,0.0391962545,0.0516352187,0.0525031556,290.654401,-3.6839926649,0.0526592523,0.001333446,0.0016973192,-0.012470755,Sx
0.0055057799,0.0340034778,0.0516624198,0.0491731806,290.23713181,-3.6779718908,0.0526845219,0.0013326094,0.0016973179,-0.0125979606,Sx
0.0055314945,0.0318447312,0.0517022076,0.0477997815,289.772535,-3.6717497533,0.0527223062,0.0013319544,0.0016973162,-0.0125516225,Sx
0.0055676063,0.0298745467,0.0517609624,0.0470753194,289.22352723,-3.664973976,0.0527787546,0.0013315502,0.0016973137,-0.0125207968,Sx
0.0056203784,0.0292262899,0.0518485986,0.0469236755,288.49546478,-3.656462836,0.0528632133,0.0013313541,0.0016973096,-0.0124383553,Sx
0.0056991123,0.0291334991,0.0519805093,0.0471441149,287.43595335,-3.6439612349,0.0529903714,0.0013312886,0.0016973032,-0.0128267021,Sx
0.0057565019,0.0283468609,0.052079597,0.0472316887,286.71541082,-3.6358270198,0.0530860744,0.0013315336,0.0016972984,-0.0139168757,Sx
0.0058386593,0.0270127763,0.0522279727,0.0470339994,285.78615992,-3.6262710798,0.0532306286,0.0013324397,0.0016972919,-0.0140527242,Sx
0.0058983393,0.0263728197,0.0523395453,0.0473547845,285.10862854,-3.6195212161,0.0533390143,0.0013333032,0.0016972861,-0.0140571503,Sx
0.0059851809,0.025730812,0.0525075222,0.0476324647,284.0921855,-3.6094603618,0.053502192,0.0013347588,0.001697277,-0.0143431317,Sx
0.0060274323,0.0253067637,0.0525919407,0.0481670792,283.57316493,-3.604310484,0.0535836074,0.0013355357,0.0016972715,-0.0142785334,Sx
0.0060691562,0.0251023447,0.0526767735,0.0484857378,283.02670783,-3.5986235482,0.0536652813,0.001336261,0.001697266,-0.0143720481,Sx
0.0061289698,0.0241387154,0.052804433,0.0487356213,282.22431103,-3.5903934833,0.053788132,0.0013374784,0.0016972573,-0.0144958661,Sx
0.0061728715,0.0238480199,0.0529005976,0.0491896818,281.6134041,-3.5839880578,0.0538802203,0.0013384326,0.0016972501,-0.014706346,Sx
